trial;TrialRound;setup;obj;trt_mix;trt_size;obj_pos_ID;fruit id;d1_mm;d2_mm;h_mm;w_g;ref_mm;H_lvl_from_top;zone;REAL_x_obj_mm;REAL_Z_lvl_mm;REAL_Z_obj_offset_mm;REAL_z_obj_mm;cam_dist_mm(REAL_Y);REAL_y_obj(i.e.,_offset_mm);cam_h1;cam_h2;cam_h3;cam_d1;cam_d2;cam_d3
perpective;r7;2d;Apple;;big;6;25;64.64;63.48;61.45;121.0674;63.19;3;R;200;1400;-80;1287.3;;-40;1100;1600;1850;;;
perpective;r7;2d;Apple;;big;7;21;69.87;68.44;63.17;157.5844;67.16;4;L;-200;1100;-80;986.4;;-40;1100;1600;1850;;;
perpective;r7;2d;Apple;;big;8;2;61.15;55.79;52.43;102.3003;56.45666667;4;M;0;1100;-80;991.8;;-40;1100;1600;1850;;;
perpective;r7;2d;Apple;;big;9;24;64.12;64.31;59.33;117.4263;62.58666667;4;R;200;1100;-80;988.3;;-40;1100;1600;1850;;;
perpective;r8;2d;tball;;tball;1;tball;64.44;64.81;;;64.625;2;L;-200;1700;-80;1618.0;;-40;1100;1600;1850;;;
perpective;r8;2d;tball;;tball;2;tball;65.6;64.49;;;65.045;2;M;0;1700;-80;1618.0;;-40;1100;1600;1850;;;
perpective;r8;2d;tball;;tball;3;tball;64.92;65.42;;;65.17;2;R;200;1700;-80;1618.0;;-40;1100;1600;1850;;;
perpective;r8;2d;tball;;tball;4;tball;64.2;64.63;;;64.415;3;L;-200;1400;-80;1318.0;;-40;1100;1600;1850;;;
perpective;r8;2d;tball;;tball;5;tball;64.54;64.37;;;64.455;3;M;0;1400;-80;1318.0;;-40;1100;1600;1850;;;
perpective;r8;2d;tball;;tball;6;tball;64.75;66;;;65.375;3;R;200;1400;-80;1318.0;;-40;1100;1600;1850;;;
perpective;r8;2d;tball;;tball;7;tball;64.3;64.39;;;64.345;4;L;-200;1100;-80;1018.0;;-40;1100;1600;1850;;;
perpective;r8;2d;tball;;tball;8;tball;64.78;65.56;;;65.17;4;M;0;1100;-80;1018.0;;-40;1100;1600;1850;;;
perpective;r8;2d;tball;;tball;9;tball;65.15;65.81;;;65.48;4;R;200;1100;-80;1018.0;;-40;1100;1600;1850;;;
