image,setup,Trunk-Cam_dist[mm],ObjType,Position,FSize[1],FSize[2],FSize[3],Xgt[m],Ygt[m],Zgt[m],Xestimated[m],Yestimated[m],Zestimated[m],Manhattan[m],Euclidean[m]
color_1_6_0.png,3D,1517.0,Apple,23,0.04747,0.0475,0.04828,-0.276,0.206,0.976,-0.276,0.216,1.026,0.06000000000000005,0.050990195135927896
color_1_6_0.png,3D,1517.0,Apple,24,0.061149999999999996,0.05579,0.05243,0.269,0.464,0.654,0.269,0.462,0.704,0.04999999999999993,0.04999999999999993
color_1_6_0.png,3D,1517.0,Apple,25,0.055549999999999995,0.05374,0.04924,-0.262,0.181,0.665,-0.272,0.143,0.715,0.10999999999999993,0.07280109889280513
color_1_6_1.png,3D,1552.0,Tennis_ball,1,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.467,0.043,1.887,0.467,0.047,1.897,0.02000000000000001,0.014142135623730958
color_1_6_1.png,3D,1552.0,Apple,2,0.05986,0.05596,0.052340000000000005,0.0,0.093,1.854,0.0,0.062,1.894,0.06999999999999981,0.04999999999999985
color_1_6_1.png,3D,1552.0,Apple,3,0.061149999999999996,0.05579,0.05243,-0.469,0.099,1.844,-0.469,0.042,1.884,0.09999999999999981,0.07211102550927968
color_1_6_1.png,3D,1552.0,Apple,4,0.06436,0.061149999999999996,0.05579,0.468,0.1,1.532,0.468,0.06,1.582,0.09000000000000005,0.06403124237432853
color_1_6_1.png,3D,1552.0,Apple,5,0.05882,0.05952,0.052469999999999996,0.0,0.095,1.544,0.0,0.03,1.604,0.13000000000000006,0.09219544457292891
color_1_6_1.png,3D,1552.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.087,1.553,-0.473,0.033,1.603,0.11000000000000004,0.07810249675906658
color_1_6_1.png,3D,1552.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.094,1.245,0.469,0.04,1.295,0.10000000000000003,0.07071067811865478
color_1_6_1.png,3D,1552.0,Tennis_ball,8,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.0,0.043,1.287,0.0,0.06,1.287,0.019999999999999997,0.019999999999999997
color_1_6_1.png,3D,1552.0,Apple,9,0.06418,0.06325,0.055560000000000005,-0.468,0.103,1.232,-0.468,0.05,1.282,0.10000000000000005,0.07071067811865478
color_1_6_1.png,3D,1552.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.08,0.968,0.475,0.026,0.998,0.08000000000000003,0.05830951894845302
color_1_6_1.png,3D,1552.0,Apple,11,0.06987,0.06844,0.06317,0.0,0.121,0.908,0.0,0.05,0.968,0.12999999999999995,0.09219544457292883
color_1_6_1.png,3D,1552.0,Apple,12,0.059789999999999996,0.05779,0.05198,-0.47,0.093,0.944,-0.47,0.031,0.984,0.10000000000000003,0.07211102550927981
color_1_6_1.png,3D,1552.0,Apple,13,0.06909,0.06714,0.059789999999999996,0.465,0.114,0.62,0.465,0.06,0.68,0.11000000000000006,0.07810249675906658
color_1_6_1.png,3D,1552.0,Apple,14,0.05787,0.05712,0.05273,0.0,0.092,0.654,0.0,0.04,0.684,0.08000000000000002,0.058309518948453015
color_1_6_1.png,3D,1552.0,Tennis_ball,15,0.0651789285714286,0.0651789285714286,0.0651789285714286,-0.467,0.043,0.687,-0.467,0.03,0.667,0.02999999999999991,0.022360679774997814
